Comment,Sentiment
This ending was so sweet,Positive
They: Me: You:,Neutral
"Do a challenge where you have three addicts, one to smoking, one to drinking, and one to videogames and have them all work together to see if they can survive without them for days",Neutral
I actually thought Josh was a supervillain for a sec,Neutral
"""This shows that people can do anything for money. It also shows that there’s nothing money can’t do. And it proves that money is above all power.""",Negative
"Getting ex couple together and locking them up,thats crazy",Positive
“Babe don’t get insecure he’s just an ex” The ex:,Neutral
I'm actually really happy for them. I hope they stay together,Positive
This is so wholesome,Positive
"This was probably one of the most interesting videos you've made, it's cool how they kind of created the plot and you were just there givng them stuff to do so.",Positive
This really makes you wonder how many broken up couples would get back together if given the time and space.,Neutral
Sometimes love takes a break just to prove it was strong enough to return.,Positive
The best video that i saw in few years make me cry,Positive
Lock someone up with their crush next,Neutral
"Bro went from gaslighting, to getting help, to fixing himself all in days, kudos to them, he won more than just money.",Positive
Josh is ragebaiting her so hard,Negative
Bro gone through character development throughout the whole video,Positive
Let's agree that the only reason to watch the full video is to see whether they became a couple again,Neutral
DO NOT TEXT YOUR EXES!!,Neutral
I stay for life,Neutral
This is Josh’s redemption arc,Positive
Josh’s motorcycle… sacrificed for love again,Positive
Nah both of them just trolling each other is gold fr,Positive
"years not seeing eachother and the first thing bro said was ""What's up dude?""",Neutral
THE REUNION OF COUPLES,Positive
"Can you lock me in one of these rooms for days so I can quit smoking , vaping, and drinking??",Neutral
Bro has surpassed the level of crazy challenges. He is now making brutal plots. I thought he would take revenge and take the money.,Positive
This is one of the best social experiments I have ever experienced,Positive
The Best Episode of All Time,Positive
I love that Majd is in the videos more and more! He's so awesome!,Positive
"she was willing to cut the chain to feet and lose $, to open a mystery door, but wouldn't shorten the chain to ft for bros mental health lmao",Negative
Nolan bro staring at them kiss,Neutral
The ultimate test for any relationship: a -foot chain and a shared bathroom schedule,Neutral
Bro was roasting her the whole video,Neutral
Mrbeast legendary assist,Positive
"The crazy part isn’t just the money, it’s how much creativity and effort goes into these challenges. Absolute legend",Positive
The setting is so fun!,Positive
"'i was around you for years for free, i can be a little closer for k' absolute chad LMAO",Positive
Proof that money can bring happiness,Positive
The ending is so heartwarming,Positive
Bro made sure that they don't overcome their past relationship...,Negative
He found the perfect ex couple to do this with because they were both WAY too enthusiastic about this bro,Positive
Speed chained with kai in this room.,Neutral
I volunteer for the quit smoking challenge !! Been trying to quit for years,Neutral
"“Yk what’s crazy , you “ is wild",Neutral
Aloo is on top,Neutral
the motorcycle part sent me,Positive
We want to challenge a teenager days without technology.,Neutral
You fed me = happy woman,Neutral
Bro is really very big and kind hearted,Positive
Chandler is literally everyones favourite,Positive
Caught your lonely ahh smiling,Neutral
Nice Video < !,Positive
Aloo is the winner,Neutral
This made me almost tear up. Hard hitting. I love this video,Positive
this is very big,Neutral
WW: assassination WW: failed artist WW: Tareq's adhd,Neutral
The production quality is very impressive It helped me understand better.,Positive
Been following Colin Furze for years and think it’s awesome that he got a feature! What he can build is mind blowing,Positive
its impressive that they were even able to get access to cheyenne,Positive
The military is so kind to support small content creators,Positive
English: Will you eat potato Hindi: Aalu Khaoge,Neutral
"I've lived in Colorado for years, always wanted to see whats inside Cheyenne Mountain. Incredible!",Positive
I work in the Cheyenne Mountain complex. This video was a great example of how much more money the government has. The Complex is actually a lot bigger than what it shows in the video.,Neutral
ryan trahan's days series nostalgia (missle silo),Positive
The production quality is worth sharing I will come back to watch it again.,Positive
The military is so kind to support creators,Positive
The Cheyenne one is just absolutely crazy. Stargate vibes but even better !,Positive
Under hour gang k,Neutral
that British accent is W,Positive
a blast from the past,Positive
Colin Furze is awesome .And the decommissioned missile silo is really cool,Positive
Ryan and Haley did the Jammy time there,Neutral
The way you present is very impressive I will come back to watch it again.,Positive
bro just casually has a junk jet,Neutral
"Bro has the courage to ask about UFOs, glad they made it out alive!",Neutral
"Colin Furze is not preparing for nuclear fallout , he is prepping for a zombie apocalypse",Neutral
The editing is very impressive I learned a lot from it.,Positive
So far the craziest vid I've seen...lol,Positive
"Colin F'ing Furze, what a legend!!!!!",Positive
Tareq could’ve started ww,Neutral
I just love how the military agreed to help out small creators!,Positive
"Nice to see Colin there, been following him for years",Positive
I love helping small creators,Neutral
This video is underrated I will definitely recommend this.,Positive
I'm honestly surprised they were able to even get past the front door of Cheyenne mountain... that's CRAZYYY!!!! ONE OF THE MOST SECURED FACILITIES ON THE PLANET!,Positive
Full on Ryan Trahan airBnB,Positive
"Bro's evolved, he's in the billions now",Positive
The Cheyenne Mountain complex and the base used for the Stargate SG series are incredible.,Positive
bro is getting ready for zombie apocalypse,Neutral
“even though Christmas was months ago.” While the captions say . That’s kinda funny.,Neutral
This performance is exactly what I needed It helped me understand better.,Positive
this is one of the Airbnb’s that Ryan Trahan stayed in for the states in days series,Neutral
COLIN FURZE NO WAY,Positive
The military Is so nice enough to support small content creators.,Positive
The editing is outstanding I will come back to watch it again.,Positive
The Mill one brought back Memories,Positive
Bro just casually says “that’s definitely not a UFO”,Neutral
I love helping and supporting small creators,Positive
Too much,Positive
bro that’s where ryan trahan stayed,Neutral
The Cheyenne two is just absolutely crazy. Stargate vibes but even better!,Positive
"Was great to see Colin in your video, been following him for years!! Awesome creator and builder.",Positive
OH THE FLASHBACKS,Positive
THANKYOU FOR GIVING COLIN THE GOAT SO MUCH SCREEN TIME !!!!,Positive
Look at Jimmy's Face,Neutral
nostalgic,Positive
I love how they include him in videos now,Positive
- but ses after,Neutral
Crazy,Positive
Tareq's face,Neutral
"Next video: $ nuclear bomb vs $,,,, nuclear bomb",Neutral
"Happy to see Colin furze,been following for years. The things that he can build is mind blowing",Positive
Lol container,Neutral
Lets support these small creators!,Neutral
“TIME FOR HUGGIES!”,Neutral
"omg Ryan trahan was there, it’s an airbnb",Neutral
That was a Blast from the Past and great seeing Colin Furze.,Positive
"""i think its lower yeah"" ",Positive
That's what you went in in the old videos,Positive
Nolan's face loll,Neutral
"Missed opportunity, shoulda asked where the stargate was.",Neutral
kaboom it is what it is,Neutral
proud of Ian for doing the right thing. he earned a friend for life.,Positive
Mrbeast really out here creating the most beautiful friendships and changing lives.,Positive
"Once again, we have shown that friendship is the best",Positive
Yooooo the set is,Positive
This was INSANELY hard,Neutral
Bro these videos are the difference between wild and borderline INSANE!,Positive
"Ian was so smart with reading the book about rocks, definitely helped A LOT. Lenny put in the hard work too. They both were so smart, I underestimated Ian. He's great at drawing and he's an empath",Positive
"With the library, I'm glad Ian did what he did. I was going to say: since only one book was desired by Lenny, Ian couldve compromised by reading the Bible to him through the door once or twice a week. Transcribing it to paper was even better.",Positive
It's impressive how they both respected each others spiritual beliefs!!,Positive
Making smokers/alcoholics survive in a house for days without cigs and alcohols,Neutral
"The videos are getting more & more insane, but we love it",Positive
the part where they had to find a solution in the library and apply that knowledge to break the rock faster was incredible,Positive
or am???,Neutral
The rock challenge was so exciting 'TEAM WORK IS THE KEY',Positive
This stuff restores faith in humanity,Positive
Be there or be square...,Neutral
The great youTuber in the universe,Positive
Dude... the last challenge is brutal. Imagine being in that position.,Neutral
Ian learned from the past. Love him for that.,Positive
And that's how friends are made hah,Positive
w sophie for the m donation!,Positive
very happy for both of them. they are now the best of buddies,Positive
It shows how much they needed a friendship and that people these days have to value it because it is harder to make friends because most people wouldve taken it,Positive
Proud of you both,Positive
the villan arc,Neutral
"Humanity still exists, love this video.",Positive
"I was worried about the finale, but I'm so glad that they didn't betray each other",Positive
"Sometimes success isn’t about talent, it’s about endurance. This video shows it perfectly.",Positive
Lowk I understand Ian's frustration because Lenny had no issue having the books until that challenge was mentioned Ian was trying to be helpful,Neutral
Plot twist: the $k goes straight to bail,Neutral
"man if i was locked in there being able to play only tetris and minesweeper, i would prepare to become tetris champion lol",Neutral
editors were edging us bruh,Neutral
The production is top-notch.,Positive
Ian got a life sentence when it comes to getting a friend.,Positive
Proud of lan for doing the right. he earned a friend for life.,Positive
say that again…,Neutral
……… don’t… do.. it….. '!!!!!!!!!!!!,Neutral
,Neutral
Him bringing out bible versus was amazing,Positive
I'm a corrections officer and that set was pretty legit. Awesome video as always!!,Positive
Proud of lan for doing that right thing earned a friend for life,Positive
Those two are now brothers for life you can see it in their eyes and that's just amazing to me,Positive
Bro using the book from the library to destroy the rock was genius,Positive
No. youtuber in the world. Unbeatable.,Positive
Be THERE or be SQUAREE!!..,Neutral
"""I love this video"" ",Neutral
nice handshake,Positive
W Production,Positive
Speed Core:,Neutral
Ian has gained a loyal friend for life,Positive
I'd love to do one of these type of these challenges!,Neutral
I don't think people understand how long days actually is because of short this video is. months and days. That's insane,Neutral
SIX SEVEN,Neutral
Bro got dawged I think,Neutral
These videos just gets crazier and crazier,Positive
The exPrisoner is definitely The OG of this challenge,Neutral
IT VERY FUNNY YOUR STYLE OF VIDEO I LOVE THAT,Positive
OMG THIS CHALLENGE WAS BRUTAL!!! Glad that Ian did the right thing by not stealing all the money.,Positive
ABSOLUTE CINEMA,Positive
the cloak of invisibility,Neutral
The vocals are stunning.,Neutral
days with old people in a gaming room and young people in a room with rocking chairs,Neutral
Glad Chandlers back.,Positive
"The videos are getting more more insane, but we love it",Positive
this is the first time i’ve been able to watch a mrbeast video so early,Neutral
mustard? mango? is that you?,Neutral
Epic video! W MRBEAST!,Positive
one of the best mrbeast video for a while,Positive
is literally the reason why it is important that we read books,Positive
What if you put a student and a teacher together for days,Neutral
happy ending,Positive
dollar prisoner vs million dollar prisoner,Neutral
These videos just get crazier and crazier...,Positive
boi is that a reference?!? tuff,Neutral
They stuck together I’m so happy for them both,Positive
BEE THERE OR BEE SQUARE,Neutral
"There were many lessons in this video. Patience, caring, unselfishness, etc. Thanks",Positive
"I am always wondering, if taking all the money and splitting it after the video is allowed? It would make so much sense so often...",Neutral
This is one the greatest video from mrbeast i have ever seen,Positive
- mango mustard,Neutral
$ could make me free from poverty.This is insane bro,Neutral
Insane challenge. Either could have betrayed the other. And they didn’t. Love it!,Positive
bro did him dirty,Neutral
"Nice to see, they bonded, friends for life.",Positive
Jimmy's new videos have been awesome,Positive
Just a great man changing life of people in need!,Positive
Happy ending,Positive
what stops them from stealing all the prize money ending the challenge then sharing the half afterwards?,Neutral
I'm so glad Ian and Lenny were so selfless,Positive
Honestly love them both definitely should be brought back for future challenges!,Positive
Eh proud of Ian for doing the right thing. Now he’s earned a friend for life and that’s priceless.,Positive
What a beautiful friendship,Positive
"How he stealth, he's really talented lol",Neutral
Mrbeast can do anything to people as long as money is involved,Negative
this man knows how to deescalate a problem.,Positive
Nice to see Chandler,Positive
Ian’s hair grew so much since he shaved it,Neutral
WAIT EVERY SATURDAY??? WE GETTING WEEKLY UPLOADS FROM THE BEASTTTTTTTTTTTTTTTTT!!!!!!!!,Positive
Proud to be involved,Positive
So happy to have been a part of this,Positive
Thank all for making a difference in the world with team water im happy to be a part of it! :),Positive
Changing the world with Team Water!,Positive
Proud to be a part of this one <,Positive
Thank you for what you are doing. Getting all these people involved to help solve the worlds problems.,Positive
Thanks for making a difference!,Positive
"Every donation, no matter how small, makes a big difference.",Positive
This was the most friendly teamwork I’ve ever seen :D,Positive
Your influence changes someone's life,Positive
"Congratulations to all of you. Orkun, you are our pride and joy.",Positive
Team Water is a great initiative,Positive
congratulations on the excellent initiative,Positive
PROUD TO BE APART OF THIS JOURNEY <,Positive
So happy to be apart of this and help out,Positive
Thankful to be part of this incredible project!,Positive
It was a pleasure!!!Team Water,Positive
TEAM WATER,Positive
I donated today! I’m super excited about giving,Positive
A Man with Diamond Heart,Positive
I admire the determination it took to achieve this. So proud of you!,Positive
", you're not just a YouTuber, you're a legend! Thanks for changing lives every",Positive
Thank you team water,Positive
I'm proud that I was able to be one of the creators to help out,Positive
thank you so much for inviting me to help support the cause!,Positive
You guys are the reason why I still hope for humanity!!,Positive
"Thank you for including this beautiful project with us, cheers to the mrbeast water team!",Positive
TEAMWATER!,Positive
Glad to be a part of this..Thanks.,Positive
i really love you,Positive
Government Creators,Positive
So happy to be joining you in this!,Positive
He helps more than the government. What a hero!,Positive
We made the right person popular,Positive
Woo hoo!! Honored to be a part of Team Water!!,Positive
"Do a challehge where someone has to quit an addiction, this can be a series",Neutral
LOVE THIS!,Positive
Just a beginner here ! But still I will try to contribute as much as I can,Positive
Truly honored to be a part of this,Positive
We made the right person famous,Positive
Yeah we made the right person famous.,Positive
An Absolute Legend,Positive
I love to see many YouTubers come together and help the world,Positive
THANK YOU FOR HELPING ALL OF THOSE PEOPLE,Positive
Proud to be apart of donating,Positive
I love how the YouTubers got together to help those in need. THERE IS STILL HOPE IN HUMANITY.,Positive
How beautiful moment you guys made..,Positive
Proud To be involved,Positive
Be blessed and continue to support humanity hand-pink-wavinghand-pink-waving,Positive
Awesome,Positive
Feeling proud to be involved. Love from Bangladesh,Positive
Thank you so much all creators,Positive
We gave fame to the right person,Positive
Bro is not just a YouTuber bro is a hero,Positive
What if mrbeast become the President? Then the world will be,Positive
We made the right person a celebrity with this man,Positive
One of the most grateful and kind YouTuber I’ve known,Positive
Its great to be part of this project,Positive
This is awesome !!!! What a Beautiful Blessing,Positive
"Powerful message, beautiful execution. Glad to play a role",Positive
The best project that brings together YouTubers,Positive
Proud To Be Part Of This,Positive
I am so happy to see this it maid me smile,Positive
WE MAKE RIGHT PERSON FAMOUS,Positive
"You’re actually such a kind person, you’re a hero, you all are",Positive
million people now have what so many of us take for granted. This is humanity at its best. The joy on the faces of the villagers is the most beautiful thing I’ve seen all year.,Positive
He is not youtuber he is hero,Positive
Bro that hug really felt me cry,Positive
"We LOVE this, thank you for using this platform to help",Positive
Bless you guys,Positive
Even alan becker joined,Positive
Excited to work with you guys,Positive
These people are definitely kind people.,Positive
"Glad to be part of this, hope we reach the goal and surpass it!",Positive
he is awesome,Positive
Really proud of this man and other youtubers who involved in this,Positive
"Thank you all for helping people in need, I am from Indonesia and I love you all.",Positive
One of the satisfactions of having a lot of money is helping others in need.,Positive
I am proud that there are such people in our world and Orkun is shining :),Positive
He is doing what the UN and other countries have failed to do.,Positive
That’s the kindness u help the world,Positive
Proud to be apart of this video,Positive
"This is not just a video, it’s a testament to the power of kindness and unity. Fully supporting the $ million mission! huge thanks to Team Water and all the amazing creators involved!",Positive
You are fantástic...,Positive
So happy to be a part of this,Positive
Thanks for allowing us to be a part of this collaboration,Positive
"Congratulations, I hope all humanity will be happy",Positive
Changing world with team water,Positive
Absolutely incredible,Positive
It’s amazing how you unite people from all over the world to help those in need.,Positive
Proud of msbeast humanity,Positive
It’s just so amazing to see people coming together as a humanity to do what the people in charge have failed to. We made the right people famous,Positive
"This man is saving the world as a youtuber, Such a kind and wholesome man",Positive
This is just.. too wholesome.,Positive
Such a kind person,Positive
Thank you guys for the compassion you have for others,Positive
l love that you use your influence to help people.,Positive
TeamWater!,Positive
Nepal,Neutral
"Even if we can't donate, let's support this video so more people can see it and help.",Positive
Thank you so much for the partnership! We’re truly happy to be part of this amazing project alongside the Team Water community.,Positive
Thank you team for helping people love from Nepal,Positive
Proud to be a part of this! Thank you,Positive
Hail mrbeast hail mrbeast,Positive
Thanks,Positive
Mrbeast for worldwide,Positive
All of y’all are true heroes,Positive
"Man this is truly incredible, it brings me to tears and brings me hope in humanity again",Positive
Team water has a golden heart,Positive
Your are great person beast big big thankyou from Nepal,Positive
"Colombia is grateful to you, simply thank you",Positive
I will try to donate as much as I can,Positive
nice to see you madj,Positive
Who is watching from Nepal,Neutral
Thanks for helping people,Positive
I could see the happiness on those pure hearted people.,Positive
""I Better have M subs" and got M Insane",Positive
"Congrats on mill, man",Positive
"Incredible years. Congrats!!",Positive
"I think future you has a little more than a million subs",Positive
"Happy year anniversary",Positive
"I think you passed that million mark bro",Positive
"Congratulations bro, mi",Positive
"You just about passed the m mark. Congrats!",Positive
"Legendary it’s BACKKKKKKK",Positive
"It's really amazing how time has flown",Positive
"Congratulations, you made it.",Positive
"This is legendary. You've made history!",Positive
"That's an Amazing Gift, you've given us. Thank you !",Positive
"One of the most trippy yet inspirational things I've ever seen",Positive
"Legend",Positive
"greatest video of all time great improvement",Positive
"This is unironically the most inspirational video I’ve seen in the past few months.",Positive
"So, How did you do on that history test?",Neutral
"It's so refreshing to see him being genuine",Positive
"This is actually so cool to see, safe to say you have more than a million",Positive
"happy years! congrats!!",Positive
"I think you got a little more than million",Positive
"You changed alot man congrats",Positive
"it's refreshing seeing new creators, hope you get to M bro",Positive
"Congratulations bro, you made it",Positive
"LMAO This is actually crazy to watch!",Positive
"Just A Legend",Positive
"This is honestly so inspiring",Positive
"I'm proud of how great YOU'VE BECOME!",Positive
"Seeing your old goals completely obliterated is super inspiring. Thanks for sharing this with us.",Positive
"years ahead !!",Positive
"What a legend Super inspirational!",Positive
"Congrats",Positive
"Yeah.. you got a little more than M",Positive
"Awesome",Positive
"CAME A LONG WAYYY",Positive
"Legendary . We all need that kind of dedication and obsession to achieve what we are dreaming.",Positive
"Congratulations",Positive
"You are an inspiration to all creators out there !!",Positive
"Congrats on M",Positive
"bro got to far",Neutral
"I can’t believe it’s been years bro, insane",Positive
"Don’t worry your still alive",Neutral
"I'm a Spanish speaker, but I love your content and you're truly a role model, Beast. Congratulations, we wish you the best!",Positive
"Congratulations on hitting M dude",Positive
"welcome to the million club XD",Positive
"How proud would I be to watch this video now? That's really amazing.",Positive
"You did it congrats!",Positive
"you see billions",Neutral
"crazy",Positive
"Amazing! Congrats!!!",Positive
"Hardwork and consistency can truly take you somewhere else Congrats on your journey",Positive
"This video is the best example of what happens when you focus on a clear goal.",Positive
"Congratulations bro, u passed subs.",Positive
"Nice Bro ! Step by step, we're heading towards million!",Positive
"This shows hard work pays",Positive
"Hella proud bro",Positive
"Yes, you have succeeded and become the most famous YouTuber in the world. Our warmest congratulations to you.",Positive
"You did it bro",Positive
"Congrats, you've really made it",Positive
"The Goat",Positive
"Dang dude. This is awesome. Congratulations homie.",Positive
"CONGRATS!!!!!",Positive
"Hopefully you get M!!",Positive
"From preparing to history exams to now making History in humanity Insane achievement thala....",Positive
"Congrats man!",Positive
"You got your Million",Positive
"Congrats on the million, maybe you will get mil in the future",Positive
"You really have made it. Much love",Positive
"Congratulations on your success bro",Positive
"This is genuinely incredible, and I cannot begin to comprehend the massive amounts of effort required to achieve all of this.",Positive
"Congrats bro!",Positive
"It's really amazing",Positive
"lets just say you have way more than a million subs lmaoo",Positive
"Wow congratulations",Positive
"CONGRATULATIONS, you've made it.",Positive
"I hope you become famous",Positive
"The most successful YouTuber",Positive
"Hello, congratulations",Positive
"THIS IS EXCELLENT",Positive
"Happy th anniversary man, you are a true legend!!",Positive
"Daym years . That little boy is now biggest youtuber in the world",Positive
"Bro you've become the biggest youtuber in the world",Positive
"Don't worry bro, u still alive and now u are comming to reach M subscriber",Positive
"Bro is insanely successful",Positive
"Wow the definition of resilience",Positive
"Congrats for years anniversary",Positive
"Congratulations!! YEARS!",Positive
"This is really proud moment for every man he set goal before yrs now achieved it way ahead than that goal is really crazy keeps it man you are doing great and lot more wishes to you to reach Billion subs on yt",Positive
"Happy years! You’ve been great!!!",Positive
"Mind blown!!!",Positive
"Your so close to .m subs CONGRATS",Positive
"WHAT GRADE DID YOU GET ON THE HISTORY TEST??",Neutral
"Congrats for mil. Didn't even notice omg",Positive
"Insane!!!!!",Positive
"Wow , congratulations!!",Positive
"I wonder if there'll be a years, years and years versions?",Neutral
"Inspiring . Congrats on such a amazing journey",Positive
"I guess this proves the whole thing of: ""people overestimate what they can do in year but underestimate what they can do in years"" thing.",Positive
"Bro this is…….REVOLUTIONARY!!!!!",Positive
"Congratulations U made it",Positive
"Congrats on mill. man",Positive
"The is the purest form of opening a time capsule…. Awesome.",Positive
"Damn! you got it.",Positive
"Congratulations for M subs",Positive
"Definitely got a million",Positive
"I love supporting small content creators",Neutral
"Congrats on reaching M subs",Positive
"thousand to M is INSANE",Positive
"Very beautiful video",Positive
"Happy th anniversary!",Positive
"Bro you are not a loser...You are a true legend",Positive
"you might have crossed million",Positive
"Congratulations for being the best youtuber and you have success in life",Positive
"Bro, you have reached % more of your goal",Positive
"Success On Peak Consistency is the key of Success!!!",Positive
"Congratulations!! On hitting the M dude .",Positive
"Ts is so crazy i subbed in . Insane growth beast. You’re a beast",Positive
"Absolutely insane. Congratulations!!!",Positive
"Insanely inspiring",Positive
"so much has changed. happy year anniversary",Positive
"This is amazing",Positive
"Congrats brother",Positive
"You are Alive bro",Neutral
"You are legendary! A story of a hero",Positive
"Congrats on your success bruvv",Positive
"This is pretty cool. Congrats.",Positive
"Don't worry you 're still alive Congratulations",Positive
"What did you get on that test?",Neutral
"Congratulations.This is really inspirational!",Positive
"Wow,that’s incredible!",Positive
"So awesome to see the success you've accomplished!",Positive
"Congrats on K subs bro",Positive
"big love from youtubers indonesia",Positive
"And now you are successful bro we are from the future",Positive
"The history test grade is now the world's biggest mystery",Neutral
"Congrats!",Positive
"Happy th anniversary! And Success!",Positive
"k to m, in years, insane. love that you do this videos, i hope there are more coming in the future?",Positive
"Congratulations on your journey fam",Positive
"Congrats on the mil bro",Positive
"Happy Year's anniversary",Positive
"Without a doubt a great lesson that effort has the result you want over time",Positive
"Such a legend you are!",Positive
"years is crazy, congrats!",Positive
"Amazing",Positive
"Cant believe how far he has come! Congrats!",Positive
"Congratulations on more than mill",Positive
"This is an amazing concept. I love this",Positive
"Happy for you and the journey from k subs to Million is crazy",Positive
"You are truly proof of the power of believing and achieving. This is a manifesto",Positive
"Congratulations you made it. You’ve gone so far. That’s so crazy how far you’ve come!",Positive
"Happy years !, congrats",Positive
"Yeah, you did it, how great u are",Positive
"I hope you reached your goal!",Positive
"U made it to Million Buddy",Positive
"Such an Incredible years.Congrats bro!!!! Legend..",Positive
"Bro is perfect example of hard work",Positive
"What was your score in that history test?",Neutral
"Whyyy this is very cute!",Positive
"You have MORE Then one million bro!",Positive
"years later, and you're the most subscribed Youtuber in all the land!",Positive
"Congrats bro, you did it, we love you from Brazil!",Positive
"Incredible journey!!!!!",Positive
"I'm super happy for you. Love your content. Love how you help so many people out there.",Positive
"Congrats broski",Positive
"Congrats!!!",Positive
"This is what setting goals, and focusing is all about! Congrats brother",Positive
"this was rlly motivating, proves what dedication can do",Positive
"Congrats man, you've come a long way",Positive
"You did bro",Positive
"“When I’ll get older, I’ll be stronger” You proved these lyric’s true fr.",Positive
"This has been awesome and heart felt video. So proud of what you’ve built over the last years and excited to see where it goes into the future. Continue being the amazing person you are!",Positive
"it is amazing....",Positive
"Yeah, congrats on mil!",Positive
"i love this bc it shows you how if you set your mind to a goal you can really accomplish so much! now i'm thinking about where i want to be in years",Positive
"M subs congrats to your future",Positive
