,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
147,0,3,9.0,2,2,34.375,False,False,True
148,0,2,36.5,0,2,26.0,True,False,True
149,0,2,42.0,0,0,13.0,True,False,True
150,0,2,51.0,0,0,12.525,True,False,True
151,1,1,22.0,1,0,66.6,False,False,True
152,0,3,55.5,0,0,8.05,True,False,True
153,0,3,40.5,0,2,14.5,True,False,True
154,0,3,30.0,0,0,7.3125,True,False,True
155,0,1,51.0,0,1,61.3792,True,False,False
156,1,3,16.0,0,0,7.7333,False,True,False
157,0,3,30.0,0,0,8.05,True,False,True
158,0,3,30.0,0,0,8.6625,True,False,True
159,0,3,30.0,8,2,69.55,True,False,True
160,0,3,44.0,0,1,16.1,True,False,True
161,1,2,40.0,0,0,15.75,False,False,True
162,0,3,26.0,0,0,7.775,True,False,True
163,0,3,17.0,0,0,8.6625,True,False,True
164,0,3,1.0,4,1,39.6875,True,False,True
165,1,3,9.0,0,2,20.525,True,False,True
166,1,1,30.0,0,1,55.0,False,False,True
167,0,3,45.0,1,4,27.9,False,False,True
168,0,1,30.0,0,0,25.925,True,False,True
169,0,3,28.0,0,0,56.4958,True,False,True
170,0,1,61.0,0,0,33.5,True,False,True
171,0,3,4.0,4,1,29.125,True,True,False
172,1,3,1.0,1,1,11.1333,False,False,True
173,0,3,21.0,0,0,7.925,True,False,True
174,0,1,56.0,0,0,30.6958,True,False,False
175,0,3,18.0,1,1,7.8542,True,False,True
176,0,3,30.0,3,1,25.4667,True,False,True
177,0,1,50.0,0,0,28.7125,False,False,False
178,0,2,30.0,0,0,13.0,True,False,True
179,0,3,36.0,0,0,0.0,True,False,True
180,0,3,30.0,8,2,69.55,False,False,True
181,0,2,30.0,0,0,15.05,True,False,False
182,0,3,9.0,4,2,31.3875,True,False,True
183,1,2,1.0,2,1,39.0,True,False,True
184,1,3,4.0,0,2,22.025,False,False,True
185,0,1,30.0,0,0,50.0,True,False,True
186,1,3,30.0,1,0,15.5,False,True,False
187,1,1,45.0,0,0,26.55,True,False,True
188,0,3,40.0,1,1,15.5,True,True,False
189,0,3,36.0,0,0,7.8958,True,False,True
190,1,2,32.0,0,0,13.0,False,False,True
191,0,2,19.0,0,0,13.0,True,False,True
192,1,3,19.0,1,0,7.8542,False,False,True
193,1,2,3.0,1,1,26.0,True,False,True
194,1,1,44.0,0,0,27.7208,False,False,False
195,1,1,58.0,0,0,146.5208,False,False,False
196,0,3,30.0,0,0,7.75,True,True,False
197,0,3,42.0,0,1,8.4042,True,False,True
198,1,3,30.0,0,0,7.75,False,True,False
199,0,2,24.0,0,0,13.0,False,False,True
200,0,3,28.0,0,0,9.5,True,False,True
201,0,3,30.0,8,2,69.55,True,False,True
202,0,3,34.0,0,0,6.4958,True,False,True
203,0,3,45.5,0,0,7.225,True,False,False
204,1,3,18.0,0,0,8.05,True,False,True
205,0,3,2.0,0,1,10.4625,False,False,True
206,0,3,32.0,1,0,15.85,True,False,True
207,1,3,26.0,0,0,18.7875,True,False,False
208,1,3,16.0,0,0,7.75,False,True,False
209,1,1,40.0,0,0,31.0,True,False,False
210,0,3,24.0,0,0,7.05,True,False,True
211,1,2,35.0,0,0,21.0,False,False,True
212,0,3,22.0,0,0,7.25,True,False,True
213,0,2,30.0,0,0,13.0,True,False,True
214,0,3,30.0,1,0,7.75,True,True,False
215,1,1,31.0,1,0,113.275,False,False,False
216,1,3,27.0,0,0,7.925,False,False,True
217,0,2,42.0,1,0,27.0,True,False,True
218,1,1,32.0,0,0,76.2917,False,False,False
219,0,2,30.0,0,0,10.5,True,False,True
220,1,3,16.0,0,0,8.05,True,False,True
221,0,2,27.0,0,0,13.0,True,False,True
222,0,3,51.0,0,0,8.05,True,False,True
223,0,3,30.0,0,0,7.8958,True,False,True
224,1,1,38.0,1,0,90.0,True,False,True
225,0,3,22.0,0,0,9.35,True,False,True
226,1,2,19.0,0,0,10.5,True,False,True
227,0,3,20.5,0,0,7.25,True,False,True
228,0,2,18.0,0,0,13.0,True,False,True
229,0,3,30.0,3,1,25.4667,False,False,True
230,1,1,35.0,1,0,83.475,False,False,True
231,0,3,29.0,0,0,7.775,True,False,True
232,0,2,59.0,0,0,13.5,True,False,True
233,1,3,5.0,4,2,31.3875,False,False,True
234,0,2,24.0,0,0,10.5,True,False,True
235,0,3,30.0,0,0,7.55,False,False,True
236,0,2,44.0,1,0,26.0,True,False,True
237,1,2,8.0,0,2,26.25,False,False,True
238,0,2,19.0,0,0,10.5,True,False,True
239,0,2,33.0,0,0,12.275,True,False,True
240,0,3,30.0,1,0,14.4542,False,False,False
241,1,3,30.0,1,0,15.5,False,True,False
242,0,2,29.0,0,0,10.5,True,False,True
243,0,3,22.0,0,0,7.125,True,False,True
244,0,3,30.0,0,0,7.225,True,False,False
245,0,1,44.0,2,0,90.0,True,True,False
246,0,3,25.0,0,0,7.775,False,False,True
247,1,2,24.0,0,2,14.5,False,False,True
248,1,1,37.0,1,1,52.5542,True,False,True
249,0,2,54.0,1,0,26.0,True,False,True
250,0,3,30.0,0,0,7.25,True,False,True
251,0,3,29.0,1,1,10.4625,False,False,True
252,0,1,62.0,0,0,26.55,True,False,True
253,0,3,30.0,1,0,16.1,True,False,True
254,0,3,41.0,0,2,20.2125,False,False,True
255,1,3,29.0,0,2,15.2458,False,False,False
256,1,1,30.0,0,0,79.2,False,False,False
257,1,1,30.0,0,0,86.5,False,False,True
258,1,1,35.0,0,0,512.3292,False,False,False
259,1,2,50.0,0,1,26.0,False,False,True
260,0,3,30.0,0,0,7.75,True,True,False
261,1,3,3.0,4,2,31.3875,True,False,True
262,0,1,52.0,1,1,79.65,True,False,True
263,0,1,40.0,0,0,0.0,True,False,True
264,0,3,30.0,0,0,7.75,False,True,False
265,0,2,36.0,0,0,10.5,True,False,True
266,0,3,16.0,4,1,39.6875,True,False,True
267,1,3,25.0,1,0,7.775,True,False,True
268,1,1,58.0,0,1,153.4625,False,False,True
269,1,1,35.0,0,0,135.6333,False,False,True
270,0,1,30.0,0,0,31.0,True,False,True
271,1,3,25.0,0,0,0.0,True,False,True
272,1,2,41.0,0,1,19.5,False,False,True
273,0,1,37.0,0,1,29.7,True,False,False
274,1,3,30.0,0,0,7.75,False,True,False
275,1,1,63.0,1,0,77.9583,False,False,True
276,0,3,45.0,0,0,7.75,False,False,True
277,0,2,30.0,0,0,0.0,True,False,True
278,0,3,7.0,4,1,29.125,True,True,False
279,1,3,35.0,1,1,20.25,False,False,True
280,0,3,65.0,0,0,7.75,True,True,False
281,0,3,28.0,0,0,7.8542,True,False,True
282,0,3,16.0,0,0,9.5,True,False,True
283,1,3,19.0,0,0,8.05,True,False,True
284,0,1,30.0,0,0,26.0,True,False,True
285,0,3,33.0,0,0,8.6625,True,False,False
286,1,3,30.0,0,0,9.5,True,False,True
287,0,3,22.0,0,0,7.8958,True,False,True
288,1,2,42.0,0,0,13.0,True,False,True
289,1,3,22.0,0,0,7.75,False,True,False
290,1,1,26.0,0,0,78.85,False,False,True
291,1,1,19.0,1,0,91.0792,False,False,False
292,0,2,36.0,0,0,12.875,True,False,False
293,0,3,24.0,0,0,8.85,False,False,True
294,0,3,24.0,0,0,7.8958,True,False,True
295,0,1,30.0,0,0,27.7208,True,False,False
296,0,3,23.5,0,0,7.2292,True,False,False
297,0,1,2.0,1,2,151.55,False,False,True
298,1,1,30.0,0,0,30.5,True,False,True
299,1,1,50.0,0,1,247.5208,False,False,False
300,1,3,30.0,0,0,7.75,False,True,False
301,1,3,30.0,2,0,23.25,True,True,False
302,0,3,19.0,0,0,0.0,True,False,True
303,1,2,30.0,0,0,12.35,False,True,False
304,0,3,30.0,0,0,8.05,True,False,True
305,1,1,0.92,1,2,151.55,True,False,True
306,1,1,30.0,0,0,110.8833,False,False,False
307,1,1,17.0,1,0,108.9,False,False,False
308,0,2,30.0,1,0,24.0,True,False,False
309,1,1,30.0,0,0,56.9292,False,False,False
310,1,1,24.0,0,0,83.1583,False,False,False
311,1,1,18.0,2,2,262.375,False,False,False
312,0,2,26.0,1,1,26.0,False,False,True
313,0,3,28.0,0,0,7.8958,True,False,True
314,0,2,43.0,1,1,26.25,True,False,True
315,1,3,26.0,0,0,7.8542,False,False,True
316,1,2,24.0,1,0,26.0,False,False,True
317,0,2,54.0,0,0,14.0,True,False,True
318,1,1,31.0,0,2,164.8667,False,False,True
319,1,1,40.0,1,1,134.5,False,False,False
320,0,3,22.0,0,0,7.25,True,False,True
321,0,3,27.0,0,0,7.8958,True,False,True
322,1,2,30.0,0,0,12.35,False,True,False
323,1,2,22.0,1,1,29.0,False,False,True
324,0,3,30.0,8,2,69.55,True,False,True
325,1,1,36.0,0,0,135.6333,False,False,False
326,0,3,61.0,0,0,6.2375,True,False,True
327,1,2,36.0,0,0,13.0,False,False,True
328,1,3,31.0,1,1,20.525,False,False,True
329,1,1,16.0,0,1,57.9792,False,False,False
330,1,3,30.0,2,0,23.25,False,True,False
331,0,1,45.5,0,0,28.5,True,False,True
332,0,1,38.0,0,1,153.4625,True,False,True
333,0,3,16.0,2,0,18.0,True,False,True
334,1,1,30.0,1,0,133.65,False,False,True
335,0,3,30.0,0,0,7.8958,True,False,True
336,0,1,29.0,1,0,66.6,True,False,True
337,1,1,41.0,0,0,134.5,False,False,False
338,1,3,45.0,0,0,8.05,True,False,True
339,0,1,45.0,0,0,35.5,True,False,True
340,1,2,2.0,1,1,26.0,True,False,True
341,1,1,24.0,3,2,263.0,False,False,True
342,0,2,28.0,0,0,13.0,True,False,True
343,0,2,25.0,0,0,13.0,True,False,True
344,0,2,36.0,0,0,13.0,True,False,True
345,1,2,24.0,0,0,13.0,False,False,True
346,1,2,40.0,0,0,13.0,False,False,True
347,1,3,30.0,1,0,16.1,False,False,True
348,1,3,3.0,1,1,15.9,True,False,True
349,0,3,42.0,0,0,8.6625,True,False,True
350,0,3,23.0,0,0,9.225,True,False,True
351,0,1,30.0,0,0,35.0,True,False,True
352,0,3,15.0,1,1,7.2292,True,False,False
353,0,3,25.0,1,0,17.8,True,False,True
354,0,3,30.0,0,0,7.225,True,False,False
355,0,3,28.0,0,0,9.5,True,False,True
356,1,1,22.0,0,1,55.0,False,False,True
357,0,2,38.0,0,0,13.0,False,False,True
358,1,3,30.0,0,0,7.8792,False,True,False
359,1,3,30.0,0,0,7.8792,False,True,False
360,0,3,40.0,1,4,27.9,True,False,True
361,0,2,29.0,1,0,27.7208,True,False,False
362,0,3,45.0,0,1,14.4542,False,False,False
363,0,3,35.0,0,0,7.05,True,False,True
364,0,3,30.0,1,0,15.5,True,True,False
365,0,3,30.0,0,0,7.25,True,False,True
366,1,1,60.0,1,0,75.25,False,False,False
367,1,3,30.0,0,0,7.2292,False,False,False
368,1,3,30.0,0,0,7.75,False,True,False
369,1,1,24.0,0,0,69.3,False,False,False
370,1,1,25.0,1,0,55.4417,True,False,False
371,0,3,18.0,1,0,6.4958,True,False,True
372,0,3,19.0,0,0,8.05,True,False,True
373,0,1,22.0,0,0,135.6333,True,False,False
374,0,3,3.0,3,1,21.075,False,False,True
375,1,1,30.0,1,0,82.1708,False,False,False
376,1,3,22.0,0,0,7.25,False,False,True
377,0,1,27.0,0,2,211.5,True,False,False
378,0,3,20.0,0,0,4.0125,True,False,False
379,0,3,19.0,0,0,7.775,True,False,True
380,1,1,42.0,0,0,227.525,False,False,False
381,1,3,1.0,0,2,15.7417,False,False,False
382,0,3,32.0,0,0,7.925,True,False,True
383,1,1,35.0,1,0,52.0,False,False,True
384,0,3,30.0,0,0,7.8958,True,False,True
385,0,2,18.0,0,0,73.5,True,False,True
386,0,3,1.0,5,2,46.9,True,False,True
387,1,2,36.0,0,0,13.0,False,False,True
388,0,3,30.0,0,0,7.7292,True,True,False
389,1,2,17.0,0,0,12.0,False,False,False
390,1,1,36.0,1,2,120.0,True,False,True
391,1,3,21.0,0,0,7.7958,True,False,True
392,0,3,28.0,2,0,7.925,True,False,True
393,1,1,23.0,1,0,113.275,False,False,False
394,1,3,24.0,0,2,16.7,False,False,True
395,0,3,22.0,0,0,7.7958,True,False,True
396,0,3,31.0,0,0,7.8542,False,False,True
397,0,2,46.0,0,0,26.0,True,False,True
398,0,2,23.0,0,0,10.5,True,False,True
399,1,2,28.0,0,0,12.65,False,False,True
400,1,3,39.0,0,0,7.925,True,False,True
401,0,3,26.0,0,0,8.05,True,False,True
402,0,3,21.0,1,0,9.825,False,False,True
403,0,3,28.0,1,0,15.85,True,False,True
404,0,3,20.0,0,0,8.6625,False,False,True
405,0,2,34.0,1,0,21.0,True,False,True
406,0,3,51.0,0,0,7.75,True,False,True
407,1,2,3.0,1,1,18.75,True,False,True
408,0,3,21.0,0,0,7.775,True,False,True
409,0,3,30.0,3,1,25.4667,False,False,True
410,0,3,30.0,0,0,7.8958,True,False,True
411,0,3,30.0,0,0,6.8583,True,True,False
412,1,1,33.0,1,0,90.0,False,True,False
413,0,2,30.0,0,0,0.0,True,False,True
414,1,3,44.0,0,0,7.925,True,False,True
415,0,3,30.0,0,0,8.05,False,False,True
416,1,2,34.0,1,1,32.5,False,False,True
417,1,2,18.0,0,2,13.0,False,False,True
418,0,2,30.0,0,0,13.0,True,False,True
419,0,3,10.0,0,2,24.15,False,False,True
420,0,3,30.0,0,0,7.8958,True,False,False
421,0,3,21.0,0,0,7.7333,True,True,False
422,0,3,29.0,0,0,7.875,True,False,True
423,0,3,28.0,1,1,14.4,False,False,True
424,0,3,18.0,1,1,20.2125,True,False,True
425,0,3,30.0,0,0,7.25,True,False,True
426,1,2,28.0,1,0,26.0,False,False,True
427,1,2,19.0,0,0,26.0,False,False,True
428,0,3,30.0,0,0,7.75,True,True,False
429,1,3,32.0,0,0,8.05,True,False,True
430,1,1,28.0,0,0,26.55,True,False,True
431,1,3,30.0,1,0,16.1,False,False,True
432,1,2,42.0,1,0,26.0,False,False,True
433,0,3,17.0,0,0,7.125,True,False,True
434,0,1,50.0,1,0,55.9,True,False,True
435,1,1,14.0,1,2,120.0,False,False,True
436,0,3,21.0,2,2,34.375,False,False,True
437,1,2,24.0,2,3,18.75,False,False,True
438,0,1,64.0,1,4,263.0,True,False,True
439,0,2,31.0,0,0,10.5,True,False,True
440,1,2,45.0,1,1,26.25,False,False,True
441,0,3,20.0,0,0,9.5,True,False,True
442,0,3,25.0,1,0,7.775,True,False,True
443,1,2,28.0,0,0,13.0,False,False,True
444,1,3,30.0,0,0,8.1125,True,False,True
445,1,1,4.0,0,2,81.8583,True,False,True
446,1,2,13.0,0,1,19.5,False,False,True
447,1,1,34.0,0,0,26.55,True,False,True
448,1,3,5.0,2,1,19.2583,False,False,False
449,1,1,52.0,0,0,30.5,True,False,True
450,0,2,36.0,1,2,27.75,True,False,True
451,0,3,30.0,1,0,19.9667,True,False,True
452,0,1,30.0,0,0,27.75,True,False,False
453,1,1,49.0,1,0,89.1042,True,False,False
454,0,3,30.0,0,0,8.05,True,False,True
455,1,3,29.0,0,0,7.8958,True,False,False
456,0,1,65.0,0,0,26.55,True,False,True
457,1,1,30.0,1,0,51.8625,False,False,True
458,1,2,50.0,0,0,10.5,False,False,True
459,0,3,30.0,0,0,7.75,True,True,False
460,1,1,48.0,0,0,26.55,True,False,True
461,0,3,34.0,0,0,8.05,True,False,True
462,0,1,47.0,0,0,38.5,True,False,True
463,0,2,48.0,0,0,13.0,True,False,True
464,0,3,30.0,0,0,8.05,True,False,True
465,0,3,38.0,0,0,7.05,True,False,True
466,0,2,30.0,0,0,0.0,True,False,True
467,0,1,56.0,0,0,26.55,True,False,True
468,0,3,30.0,0,0,7.725,True,True,False
469,1,3,0.75,2,1,19.2583,False,False,False
470,0,3,30.0,0,0,7.25,True,False,True
471,0,3,38.0,0,0,8.6625,True,False,True
472,1,2,33.0,1,2,27.75,False,False,True
473,1,2,23.0,0,0,13.7917,False,False,False
474,0,3,22.0,0,0,9.8375,False,False,True
475,0,1,30.0,0,0,52.0,True,False,True
476,0,2,34.0,1,0,21.0,True,False,True
477,0,3,29.0,1,0,7.0458,True,False,True
478,0,3,22.0,0,0,7.5208,True,False,True
479,1,3,2.0,0,1,12.2875,False,False,True
480,0,3,9.0,5,2,46.9,True,False,True
481,0,2,30.0,0,0,0.0,True,False,True
482,0,3,50.0,0,0,8.05,True,False,True
483,1,3,63.0,0,0,9.5875,False,False,True
484,1,1,25.0,1,0,91.0792,True,False,False
485,0,3,30.0,3,1,25.4667,False,False,True
486,1,1,35.0,1,0,90.0,False,False,True
487,0,1,58.0,0,0,29.7,True,False,False
488,0,3,30.0,0,0,8.05,True,False,True
489,1,3,9.0,1,1,15.9,True,False,True
490,0,3,30.0,1,0,19.9667,True,False,True
491,0,3,21.0,0,0,7.25,True,False,True
492,0,1,55.0,0,0,30.5,True,False,True
493,0,1,71.0,0,0,49.5042,True,False,False
494,0,3,21.0,0,0,8.05,True,False,True
495,0,3,30.0,0,0,14.4583,True,False,False
496,1,1,54.0,1,0,78.2667,False,False,False
497,0,3,30.0,0,0,15.1,True,False,True
498,0,1,25.0,1,2,151.55,False,False,True
499,0,3,24.0,0,0,7.7958,True,False,True
500,0,3,17.0,0,0,8.6625,True,False,True
501,0,3,21.0,0,0,7.75,False,True,False
502,0,3,30.0,0,0,7.6292,False,True,False
503,0,3,37.0,0,0,9.5875,False,False,True
504,1,1,16.0,0,0,86.5,False,False,True
505,0,1,18.0,1,0,108.9,True,False,False
506,1,2,33.0,0,2,26.0,False,False,True
507,1,1,30.0,0,0,26.55,True,False,True
508,0,3,28.0,0,0,22.525,True,False,True
509,1,3,26.0,0,0,56.4958,True,False,True
510,1,3,29.0,0,0,7.75,True,True,False
511,0,3,30.0,0,0,8.05,True,False,True
512,1,1,36.0,0,0,26.2875,True,False,True
513,1,1,54.0,1,0,59.4,False,False,False
514,0,3,24.0,0,0,7.4958,True,False,True
515,0,1,47.0,0,0,34.0208,True,False,True
516,1,2,34.0,0,0,10.5,False,False,True
517,0,3,30.0,0,0,24.15,True,True,False
518,1,2,36.0,1,0,26.0,False,False,True
519,0,3,32.0,0,0,7.8958,True,False,True
520,1,1,30.0,0,0,93.5,False,False,True
521,0,3,22.0,0,0,7.8958,True,False,True
522,0,3,30.0,0,0,7.225,True,False,False
523,1,1,44.0,0,1,57.9792,False,False,False
524,0,3,30.0,0,0,7.2292,True,False,False
525,0,3,40.5,0,0,7.75,True,True,False
526,1,2,50.0,0,0,10.5,False,False,True
527,0,1,30.0,0,0,221.7792,True,False,True
528,0,3,39.0,0,0,7.925,True,False,True
529,0,2,23.0,2,1,11.5,True,False,True
530,1,2,2.0,1,1,26.0,False,False,True
531,0,3,30.0,0,0,7.2292,True,False,False
532,0,3,17.0,1,1,7.2292,True,False,False
533,1,3,30.0,0,2,22.3583,False,False,False
534,0,3,30.0,0,0,8.6625,False,False,True
535,1,2,7.0,0,2,26.25,False,False,True
536,0,1,45.0,0,0,26.55,True,False,True
537,1,1,30.0,0,0,106.425,False,False,False
538,0,3,30.0,0,0,14.5,True,False,True
539,1,1,22.0,0,2,49.5,False,False,False
540,1,1,36.0,0,2,71.0,False,False,True
541,0,3,9.0,4,2,31.275,False,False,True
542,0,3,11.0,4,2,31.275,False,False,True
543,1,2,32.0,1,0,26.0,True,False,True
544,0,1,50.0,1,0,106.425,True,False,False
545,0,1,64.0,0,0,26.0,True,False,True
546,1,2,19.0,1,0,26.0,False,False,True
547,1,2,30.0,0,0,13.8625,True,False,False
548,0,3,33.0,1,1,20.525,True,False,True
549,1,2,8.0,1,1,36.75,True,False,True
550,1,1,17.0,0,2,110.8833,True,False,False
551,0,2,27.0,0,0,26.0,True,False,True
552,0,3,30.0,0,0,7.8292,True,True,False
553,1,3,22.0,0,0,7.225,True,False,False
554,1,3,22.0,0,0,7.775,False,False,True
555,0,1,62.0,0,0,26.55,True,False,True
556,1,1,48.0,1,0,39.6,False,False,False
557,0,1,30.0,0,0,227.525,True,False,False
558,1,1,39.0,1,1,79.65,False,False,True
559,1,3,36.0,1,0,17.4,False,False,True
560,0,3,30.0,0,0,7.75,True,True,False
561,0,3,40.0,0,0,7.8958,True,False,True
562,0,2,28.0,0,0,13.5,True,False,True
563,0,3,30.0,0,0,8.05,True,False,True
564,0,3,30.0,0,0,8.05,False,False,True
565,0,3,24.0,2,0,24.15,True,False,True
566,0,3,19.0,0,0,7.8958,True,False,True
567,0,3,29.0,0,4,21.075,False,False,True
568,0,3,30.0,0,0,7.2292,True,False,False
569,1,3,32.0,0,0,7.8542,True,False,True
570,1,2,62.0,0,0,10.5,True,False,True
